id,date,tweet
1323395921263136769,2020-11-02 22:45:49+00:00,"Ölen insanların ardından melek oldun demek bazı şeyleri kabullenmektir . Kadın cinayetlerinde melek oldun tabiri, deprem ölümünde melek oldun; hepsinde ölümün sorumlusu var artık bazı şeyleri anlamamız gerekiyor . Üç kuruş kar için bizim verecek meleğimiz yok #sedadincer"
1323395486657712141,2020-11-02 22:44:06+00:00,"Deprem,salgın hastalık,yangınlar doğal  afetler derken bir de #viyana sinagog saldırısı ya ne oluyor ne oluyor iyice ruh sağlığımızı kaybediyoruz :("
1323394434826948608,2020-11-02 22:39:55+00:00,"Türkiye'deki Deprem bilimcilerin en iyisi @nacigorur @HaberturkTV deki #AçıkveNet ten, Viyana'da ki bir saldırı yüzünden ikinci plana alınıp hadi güle güle dermişcesine gönderildi ya! Ayıp. Siz Hocayı göndermekle, Türk halkına da verdiğiniz değeri gösterdiniz. Lanet olsun. 😠"
1323393172467257346,2020-11-02 22:34:54+00:00,"Maalesef 4 gün sonra çok kötü bir deprem olacak İstanbul'da..
HİSSEDİYORUM !!!!"
1323392112361119752,2020-11-02 22:30:41+00:00,Deprem çantası linki bırakmak mı sizler cidden sıyırmışsınız...
1323390887242641414,2020-11-02 22:25:49+00:00,"Bazen bakıyorum da 15 yaş altı gençler şu bir yılda ne kadar da çok büyüdüler... Bedenleri akışta belki de özleri bilgece yansıyor gözlerinden, bakışlarından. 
#zamanakarken #pandemi #deprem #flow #covid19 #maske #mesafe #hijyen #hayat #umut #kristal #indigo"
1323378197313003520,2020-11-02 21:35:24+00:00,Allahım yarabbi böyle ahlaksızlar terbiyesizler ülkede deprem olmuş onlar ne yapıyorlar ne kadar duyarsız insanlar var defolun gidin bi ya ama yine onuda şımartan takip edenler böyle ahlaksızları takip etmeyeceksin 😬
1323378025996668928,2020-11-02 21:34:43+00:00,"2yaşında bebekleri olan aile,ikizler,Seda ve diğerleri.Deprem anında korkularını düşündükçe kalbim yerinden çıkacak gibi oluyor.Kendimi koyuyorum yerine mideme kramplar giriyor başım ağrıyor offf"
1323377942228066307,2020-11-02 21:34:23+00:00,"Deprem sonrası,
 Ev fiyatları, kiraları,nakliye fiyatlarını artıranlar, 
Sizin Yatacak yeriniz yok.
bu Elazığ'da şimdi de İzmir'de yaşanıyor. 
Biz ne ara bu kadar hin,
İnsanların zor durumundan istifade eden fırsatçı, 
Ne ara bu kadar merhametsiz bı toplum olduk.Allah düşürmesin."
1323377779988144129,2020-11-02 21:33:44+00:00,"CHP niye muhalefette kalmaya mecbur. Biliyormusunuz. 20 yıldır toplanan deprem vergilerini ne yaptınız diye İktidara,  soruyor. Hey CHP, bunca yıl aklınız nerede idi. Niye sormadin. Sayın Erdoğan'da cevabı alnınıza çakıyor. Gereken yere harcadık dedi.
Şimdi ne yapacaksın CHP."
1323374065890054144,2020-11-02 21:18:59+00:00,"Kübra Hn. Allah aşkına ne anlatıyorsunuz? Sn Görür ne anlatıyor? Neden İstanbul'dan bahsetmiyorsunuz? Bir o söz alıyor, bir bu! Söz kesiliyor. Deprem olsa şöyle olur böyle olur diyorsunuz netice yok. İstanbul'un riskli semtlerini söyleyin lütfen. 
#AçıkveNet
@HaberturkTV"
1323373551500599304,2020-11-02 21:16:56+00:00,Deprem vergilerinin hesabını sormalıyız o para bizim güvencemiz
1323373299171295234,2020-11-02 21:15:56+00:00,"Birileri yukarıda, burada fark etmez yuvarlak masa başına oturup piyon falan mı oynatıyor!
Deprem, savaş, terör saldırısı, siyasi krizler ne ile uğraşacağımızı şaşırdık. 

Tamam olmadı diye kabul edip, piyonları baştan dağıtsak???"
1323371894670872576,2020-11-02 21:10:21+00:00,"Prof Dr.Celal Şengül
20 gün evvel İZMİRDE yakında deprem gözliyorum demiş
Dün Fatih Altaylı kendi Pliğramın da dedi
Acaba Bu Prof damı GAVS 😆Yanı Şeyh mi,Nasıl bildi?😂

Türkiyeye min İnsanları:
Çok GAVS yanı Şeyh yetiştirdik, 
Ama bir tanesi
Depremi uzaktan yakından bilemedi😆"
1323371865209999362,2020-11-02 21:10:14+00:00,"O kadar ülke, kıta , bilmiyorum sayısı o kadar çok ki depremin D’si uğramayan !! Neden biz? Neden Türkiye deprem bölgesi!!! Bazen isyan edesim geliyor 😰😰"
1323369250426396672,2020-11-02 20:59:50+00:00,"Ülkede deprem, Karayiplerde tropik fırtına, Viyana'da terör saldırısı, Amerika'da seçimler, Dünya'da pandemi, uzayda üzerimize hızla gelen meteor. Atladığım var mı ? Biz nasıl bir döneme denk geldik böyle? Bu bizim bildiğimiz dünya değil artık..."
1323367819409580032,2020-11-02 20:54:09+00:00,"Bir mucize bekledik ama olmadı. Çok üzgünüz çok. 
Allah rahmet eylesin.😪
Sorumlular cezasını bulmali. Bu saatten sonra kurtarmanin başarisini konusmamaliyiz. Gerekli tedbirler alinmali ve artik deprem icin alinan önlemlerle övünmeleyiz.Yeter artık
#sedadincer"
1323367115668234245,2020-11-02 20:51:22+00:00,#trt deprem çadırlarını gösterirken bile Ak Gençlik pankartını gözümüze soktunuz. 'Trt iktidarın ekmeğine yağ sürer' diye pankart yaptırıp caddelere asabilirsiniz.
1323366689879240705,2020-11-02 20:49:40+00:00,"Ne tuhaf;her deprem sonrası enkazlar kaldırılırken herkes önceki deprem ve tehlikelerinden bahsetmeye başlıyor,deprem haritaları ortaya seriliyor ancak enkazlar kaldırılıp ölü ve yaralı sayıları netleştikten  sonra sonraki depreme kadar her şey unutuluyor #izmirdepremi
#Deprem"
1323366096267784192,2020-11-02 20:47:18+00:00,Allah yakinlarini kaybeden herkese sabir versin. Kaybedenlerin gorevi degil ama bizler sosyal medyada mac izler gibi romantik hadi ver bir mucize paylasimlar yaparak bir omur yerimizde sayariz. Daha siddetli ve uzun olan diger deprem ulkelerinde burun kanamiyor. Sorgulamak lazim.
1323364422694412289,2020-11-02 20:40:39+00:00,Deprem incitti gittiğin yer incitmesin #sedadincer
1323363761713983488,2020-11-02 20:38:02+00:00,Geçen sene İstanbul’da deprem olduğunda ailem arkadaşlarım herkes dışarıdaydı bende gidip babamın yanında uyumuştum ne olursa olsun o var yanımda demiştim o kadar içim rahatti ki şuan bu olanlara karşı o kadar savunmasız o kadar korku içindeyim ki tarifi yok
1323361056991911936,2020-11-02 20:27:17+00:00,"Deprem incitti, gittiğin yerde incinme seda.."
1323359156842188800,2020-11-02 20:19:44+00:00,"Bu deprem anı videolarını izlemekten sanki biraz sonra İstanbul’da da deprem olacakmış gibi gelmeye başladı. Psikolojik çöküş böyle bi şey galiba 😞  Allah İzmir’dekilerin yardımcısı olsun, sürekli beşik gibi sallanıyor herkes 😢"
1323356756416880643,2020-11-02 20:10:12+00:00,Deprem incitti gittiğin yer incitmesin Seda.. #sedadincer
1323354386995838977,2020-11-02 20:00:47+00:00,Gencecik. Kim bilir ne hayalleri yok oldu. Deprem değil ihmal öldürüyor #sedadincer
1323353404324880384,2020-11-02 19:56:52+00:00,"Kedim dolabımın içine girmiş ve kapıyı da geri kapamış.
Bir anda baktım kapı sallanıyor, deprem oluyor sandım, ödüm koptu! 🤦🏻‍♀️"
1323347691288567808,2020-11-02 19:34:10+00:00,"Hakikaten deprem vergilerini sorgulayan aynı minvaldeki sorularınızdan sıkıldım. 
Kaç tane seçim yapıldı son 20 yıldır? Ancak mı aklınıza geldi hesap sormak?"
1323347488640819201,2020-11-02 19:33:22+00:00,İzmir'de tekrar deprem mi bekliyorlar haberde oyle biseyler duydum uzmanlardan tam dinleyemedim?  🙄
1323345388158492673,2020-11-02 19:25:01+00:00,"İzmir deprem anını gösteren bir video gordum az once ama, depremi yaşayan arkadaslara saygımdan rt yapmak istemedim...
Tekrardan çook çook gecmis olsun. Bu bir gercek ama umarım yaşamayız tekrardan"
1323344394431438848,2020-11-02 19:21:04+00:00,"Instagramda Murat Övüç diye biri var 2M kadar takipçili. Paylaşımları ile ilgili deprem oldu, hassas olun tarzı bir eleştiri almış anladığım kadarıyla. Bunun üzerine ""bu millet gerizekalı"" içerikli bir video paylaşmış. Ulusa hakaret böyle serbest mi? @tcbestepe @TC_icisleri"
1323344089157373953,2020-11-02 19:19:52+00:00,"BU TV 8 IN NE IMTIYAZI VAR
DEPREM OLMUŞ AYNI TEMPO
PROGRAM AYNI TEMPO NESELI REKLAMLAR 92 CAN DEPREMDE 70 KUSUR CAN KORONADAN VEFAT ETMIS
IZMIR HALKI SOKAKTA UMURUNDAMI DÜNYA ISI.
GULMELER EGLENMELER
YIKILAN BINADAN ÇIKACAK CANLARI BEKLEYEN MILYONLAR.YAZIKLAR OLSUN..OLENE SAYGI"
1323339777500946433,2020-11-02 19:02:44+00:00,İnsanlar beni arayıp deprem oldu iyi misin izmirde misin diye soruyorlar kurban olam ben size
1323338134738919432,2020-11-02 18:56:12+00:00,Deprem vergileri nerede ?
1323337094056546308,2020-11-02 18:52:04+00:00,"Her gece yatağımın başında deprem çantası ya uykuda olursa dıye, uyanınca da  kapı gırısınde ya gündüz olursa diye.. tırlatacağım artık 😪"
1323336952578514944,2020-11-02 18:51:30+00:00,Deprem en büyük korkum. Boğazım düğümleniyor düşündükçe...
